Date,Close
28/07/2020,3213
29/07/2020,3252.5
30/07/2020,3248.75
31/07/2020,3263.5
03/08/2020,3288.5
04/08/2020,3300
05/08/2020,3316
06/08/2020,3344.25
07/08/2020,3344.75
10/08/2020,3352.75
11/08/2020,3330
12/08/2020,3370
13/08/2020,3367.75
14/08/2020,3361.5
17/08/2020,3379.75
18/08/2020,3387
19/08/2020,3372.75
20/08/2020,3380.75
21/08/2020,3392.5
24/08/2020,3427.5
25/08/2020,3443
26/08/2020,3480.25
27/08/2020,3485.25
28/08/2020,3504.5
31/08/2020,3499
01/09/2020,3527
02/09/2020,3579.25
03/09/2020,3461.5
04/09/2020,3417.5
08/09/2020,3335.5
09/09/2020,3400.25
10/09/2020,3340.5
11/09/2020,3333.75
14/09/2020,3382.5
15/09/2020,3405.25
16/09/2020,3389.5
17/09/2020,3361.5
18/09/2020,3353.6
21/09/2020,3275
22/09/2020,3299.25
23/09/2020,3231.25
24/09/2020,3238
25/09/2020,3287.25
28/09/2020,3346
29/09/2020,3333.75
30/09/2020,3352
01/10/2020,3367.75
02/10/2020,3339.25
05/10/2020,3393
06/10/2020,3353.25
07/10/2020,3406.75
08/10/2020,3437.5
09/10/2020,3473.25
12/10/2020,3532.75
13/10/2020,3504.75
14/10/2020,3481
15/10/2020,3475.5
16/10/2020,3462.25
19/10/2020,3422.75
20/10/2020,3432.25
21/10/2020,3432.5
22/10/2020,3449.25
23/10/2020,3451.75
26/10/2020,3393.5
27/10/2020,3383
28/10/2020,3263.5
29/10/2020,3302.25
30/10/2020,3264.75
02/11/2020,3300.5
03/11/2020,3361.5
04/11/2020,3435
05/11/2020,3504.75
06/11/2020,3500.75
09/11/2020,3544
10/11/2020,3541
11/11/2020,3568
12/11/2020,3532.5
13/11/2020,3582
16/11/2020,3623
17/11/2020,3606.75
18/11/2020,3565
19/11/2020,3580
20/11/2020,3554.25
23/11/2020,3576
24/11/2020,3632.75
25/11/2020,3627.25
27/11/2020,3636.5
30/11/2020,3623.25
01/12/2020,3660.5
02/12/2020,3667.25
03/12/2020,3664.5
04/12/2020,3698
07/12/2020,3690.75
08/12/2020,3702
09/12/2020,3672.5
10/12/2020,3668.5
11/12/2020,3661.25
14/12/2020,3646.5
15/12/2020,3694.5
